role,p,mor,ks,n,val
Liar,0.2,6,2,100,7.427123122342344
Liar,0.2,6,3,100,5.448244131169045
Liar,0.2,6,4,100,4.6566148088251555
Liar,0.2,6,5,100,5.131702400546891
Liar,0.2,6,6,100,6.0231927257960125
Liar,0.2,6,7,100,7.003655355096578
Liar,0.2,6,8,100,8.000470924380478
Liar,0.2,6,9,100,9.000027957900214
Liar,0.2,6,10,100,9.999989024008444
Liar,0.2,7,0,100,9.023394450896658
Liar,0.2,7,1,100,8.156711699529588
Liar,0.2,7,2,100,6.194455095220375
Liar,0.2,7,3,100,4.450779923897674
Liar,0.2,7,4,100,4.331537042394858
Liar,0.2,7,5,100,5.063213250589785
Liar,0.2,7,6,100,6.010994921114528
Liar,0.2,7,7,100,7.001728027375821
Liar,0.2,7,8,100,8.00022248574524
Liar,0.2,7,9,100,9.000013206786695
Liar,0.2,7,10,100,9.999994815290366
Liar,0.2,8,0,100,8.672182796495774
Liar,0.2,8,1,100,7.163366808399843
Liar,0.2,8,2,100,4.832490579613387
Liar,0.2,8,3,100,3.778938622899259
Liar,0.2,8,4,100,4.1618764218077615
Liar,0.2,8,5,100,5.030088613742053
Liar,0.2,8,6,100,6.005202482936271
Liar,0.2,8,7,100,7.0008165661189805
Liar,0.2,8,8,100,8.000105103041951
Liar,0.2,8,9,100,9.000006238535734
Liar,0.2,8,10,100,9.999997550912491
Liar,0.2,9,0,100,8.012004809702486
Liar,0.2,9,1,100,5.763632391737359
Liar,0.2,9,2,100,3.6786099263140657
Liar,0.2,9,3,100,3.3933316329919387
Liar,0.2,9,4,100,4.07769996167935
Liar,0.2,9,5,100,5.014264482361593
Liar,0.2,9,6,100,6.002459458579769
Liar,0.2,9,7,100,7.000385786343325
Liar,0.2,9,8,100,8.000049648995379
Liar,0.2,9,9,100,9.000002946896021
Liar,0.2,9,10,100,9.999998843132063
Liar,0.2,10,0,100,6.900009036758096
Liar,0.2,10,1,100,4.21697006543532
Liar,0.2,10,2,100,2.901311112782207
Liar,0.2,10,3,100,3.192056181242238
Liar,0.2,10,4,100,4.036985021574659
Liar,0.2,10,5,100,5.006749645753717
Liar,0.2,10,6,100,6.001162208214553
Liar,0.2,10,7,100,7.000182247701834
Liar,0.2,10,8,100,8.000023452933986
Liar,0.2,10,9,100,9.000001392019668
Liar,0.2,10,10,100,9.999999453534077
Liar,0.2,11,0,100,5.333047745259467
