role,p,mor,ks,n,val,se
Liar,0.2,-3,2,100,6.67763081749234,0.27986498721167546
Liar,0.2,-3,3,100,6.761591836412118,0.26745107484121883
Liar,0.2,-3,4,100,6.851858767813257,0.25289231841011534
Liar,0.2,-3,5,100,6.746710570864169,0.25508378183961006
Liar,0.2,-3,6,100,7.628435318771988,0.1806666573597583
Liar,0.2,-3,7,100,8.155322814909844,0.12977992272612662
Liar,0.2,-3,8,100,8.696419794613883,0.0838572638362279
Liar,0.2,-3,9,100,9.302451150644641,0.03849261619096885
Liar,0.2,-3,10,100,9.72785657776722,0.0349857102660352
Detector2,0.2,-3,0,100,0.9220216879355877,0.007189769491199744
Detector2,0.2,-3,1,100,0.6213858314147813,0.02352654799317423
Detector2,0.2,-3,2,100,0.49631514105804353,0.024998642181457788
Detector2,0.2,-3,3,100,0.4917928577435358,0.024993264281598218
Detector2,0.2,-3,4,100,0.5036071240763674,0.02499869886558977
Detector2,0.2,-3,5,100,0.49044649979176685,0.02499087306337713
Detector2,0.2,-3,6,100,0.5566368573716354,0.024679226638706503
Detector2,0.2,-3,7,100,0.5608509086619308,0.024629716691501734
Detector2,0.2,-3,8,100,0.560407968056059,0.024635087739533816
Detector2,0.2,-3,9,100,0.560934748132449,0.024628695647003502
Detector2,0.2,-3,10,100,0.5593915248853218,0.02464726467717962
Detector,0.2,-2,0,100,0.35081748946259994,0.022774457854975852
Detector,0.2,-2,1,100,0.35054926036282097,0.02276644764219001
Detector,0.2,-2,2,100,0.40769560925795495,0.02414798994497399
Detector,0.2,-2,3,100,0.43685246720024784,0.02460123891013042
Detector,0.2,-2,4,100,0.44970570965062534,0.02474704843582528
Detector,0.2,-2,5,100,0.4846579240787444,0.024976462070642642
Detector,0.2,-2,6,100,0.5667383875596517,0.024554598762593773
Detector,0.2,-2,7,100,0.5683639383288326,0.024532637193617157
Detector,0.2,-2,8,100,0.5702399404273331,0.02450663507687647
Detector,0.2,-2,9,100,0.5719110124212784,0.024482880629254675
Detector,0.2,-2,10,100,0.5737479563210017,0.02445612389384756
Liar,0.2,-2,0,100,6.9583697011127335,0.2583960825864277
Liar,0.2,-2,1,100,6.739416279047923,0.2842970874251195
Liar,0.2,-2,2,100,6.686178500418062,0.292523925976354
Liar,0.2,-2,3,100,6.793610670699738,0.27704539226577884
Liar,0.2,-2,4,100,6.894711866298668,0.26194874729481826
Liar,0.2,-2,5,100,6.958232478730093,0.24654677130443514
Liar,0.2,-2,6,100,7.714588474541664,0.18187959346362464
Liar,0.2,-2,7,100,8.236241341764204,0.13082781472797902
Liar,0.2,-2,8,100,8.738830702195019,0.08026252075135502
Liar,0.2,-2,9,100,9.280951116411803,0.03462429606070263
Liar,0.2,-2,10,100,9.825605361659607,0.023363426320356512
Detector2,0.2,-2,0,100,0.879677516219567,0.010584498367734042
Detector2,0.2,-2,1,100,0.6244263369091302,0.023451808668337563
Detector2,0.2,-2,2,100,0.5465475122603725,0.024783332910237047
Detector2,0.2,-2,3,100,0.5579911759252082,0.024663702351481156
