role,p,mor,ks,n,val
Liar,0.2,-10,0,50,0.22443280198473556
Liar,0.2,-10,1,50,0.4983073785570736
Liar,0.2,-10,2,50,0.4240764988272069
Liar,0.2,-10,3,50,0.43588107983036556
Liar,0.2,-10,4,50,0.45938716828648124
Liar,0.2,-10,5,50,0.47334556074215495
Liar,0.2,-10,6,50,0.47982152822535423
Liar,0.2,-10,7,50,0.4825279515533871
Liar,0.2,-10,8,50,0.4835977168269863
Liar,0.2,-10,9,50,0.484006401812209
Liar,0.2,-10,10,50,0.48415898638374133
Liar,0.2,-9,0,50,0.09129054361677855
Liar,0.2,-9,1,50,0.6452623632089328
Liar,0.2,-9,2,50,0.5131727748395221
Liar,0.2,-9,3,50,0.4561053434990744
Liar,0.2,-9,4,50,0.4631472004057509
Liar,0.2,-9,5,50,0.4739937291323774
Liar,0.2,-9,6,50,0.4799283425750512
Liar,0.2,-9,7,50,0.48254501002912736
Liar,0.2,-9,8,50,0.4836003788146316
Liar,0.2,-9,9,50,0.4840068099598314
Liar,0.2,-9,10,50,0.48415904810459515
Liar,0.2,-8,0,50,0.03494253966472856
Liar,0.2,-8,1,50,0.8025104177372282
Liar,0.2,-8,2,50,0.711231434834629
Liar,0.2,-8,3,50,0.5095021409048937
Liar,0.2,-8,4,50,0.47332778446234336
Liar,0.2,-8,5,50,0.47575469578451496
Liar,0.2,-8,6,50,0.4802186731917358
Liar,0.2,-8,7,50,0.48259137932248414
Liar,0.2,-8,8,50,0.48360761483774556
Liar,0.2,-8,9,50,0.48400791941989846
Liar,0.2,-8,10,50,0.48415921587926586
Liar,0.2,-7,0,50,0.013048840472733652
Liar,0.2,-7,1,50,0.9104339235153162
Liar,0.2,-7,2,50,1.0538366299763309
Liar,0.2,-7,3,50,0.6439327748758097
Liar,0.2,-7,4,50,0.5007075941394739
Liar,0.2,-7,5,50,0.4805345816862064
Liar,0.2,-7,6,50,0.48100771931364683
Liar,0.2,-7,7,50,0.4827174207956654
Liar,0.2,-7,8,50,0.48362728431748014
Liar,0.2,-7,9,50,0.484010935243579
Liar,0.2,-7,10,50,0.4841596719380764
Liar,0.2,-6,0,50,0.004827228199968061
Liar,0.2,-6,1,50,0.9639642504135963
Liar,0.2,-6,2,50,1.4507435427468545
Liar,0.2,-6,3,50,0.9453962083462171
Liar,0.2,-6,4,50,0.5730295512331641
Liar,0.2,-6,5,50,0.4934767630736916
Liar,0.2,-6,6,50,0.48315142945251394
Liar,0.2,-6,7,50,0.4830600124060865
Liar,0.2,-6,8,50,0.4836807509865697
Liar,0.2,-6,9,50,0.48401913309149236
Liar,0.2,-6,10,50,0.4841609116342324
Liar,0.2,-5,0,50,0.0017794966089423958
Liar,0.2,-5,1,50,0.9862700888892656
Liar,0.2,-5,2,50,1.7433734153599032
Liar,0.2,-5,3,50,1.4755977863076462
Liar,0.2,-5,4,50,0.7553169699084216
Liar,0.2,-5,5,50,0.5282855556488929
Liar,0.2,-5,6,50,0.488970230579358
Liar,0.2,-5,7,50,0.48399109095936593
Liar,0.2,-5,8,50,0.4838260846175575
Liar,0.2,-5,9,50,0.48404141707274434
Liar,0.2,-5,10,50,0.4841642814761332
Liar,0.2,-4,0,50,6.551367516475922e-4
Liar,0.2,-4,1,50,0.9948818537723512
Liar,0.2,-4,2,50,1.8951787885047284
Liar,0.2,-4,3,50,2.1040660965734514
Liar,0.2,-4,4,50,1.1652027239424694
Liar,0.2,-4,5,50,0.620244026269414
Liar,0.2,-4,6,50,0.5047255177188469
Liar,0.2,-4,7,50,0.48652068087838746
Liar,0.2,-4,8,50,0.48422111398425416
Liar,0.2,-4,9,50,0.4841019906246818
Liar,0.2,-4,10,50,0.484173441644075
Liar,0.2,-3,0,50,2.4107861033895994e-4
Liar,0.2,-3,1,50,0.9981078791844733
Liar,0.2,-3,2,50,1.95980747172261
Liar,0.2,-3,3,50,2.577523468928075
Liar,0.2,-3,4,50,1.8898148422153076
Liar,0.2,-3,5,50,0.8521111978849129
Liar,0.2,-3,6,50,0.5471010820197559
Liar,0.2,-3,7,50,0.4933869040840133
Liar,0.2,-3,8,50,0.48529470531837826
Liar,0.2,-3,9,50,0.4842666422554718
Liar,0.2,-3,10,50,0.48419834147301294
Liar,0.2,-2,0,50,8.869697169386958e-5
Liar,0.2,-2,1,50,0.9993026659953836
Liar,0.2,-2,2,50,1.984980296958429
Liar,0.2,-2,3,50,2.82660369065386
Liar,0.2,-2,4,50,2.754927549939594
Liar,0.2,-2,5,50,1.3739303076505691
Liar,0.2,-2,6,50,0.6590548473756809
Liar,0.2,-2,7,50,0.511978285265375
Liar,0.2,-2,8,50,0.48821147970231715
Liar,0.2,-2,9,50,0.4847141796166947
Liar,0.2,-2,10,50,0.48426602556701004
Liar,0.2,-1,0,50,3.263102508491927e-5
Liar,0.2,-1,1,50,0.9997432939858297
Liar,0.2,-1,2,50,1.9944422446436714
Liar,0.2,-1,3,50,2.9333763027056543
Liar,0.2,-1,4,50,3.411150146298921
Liar,0.2,-1,5,50,2.297949224060754
Liar,0.2,-1,6,50,0.9413727499160996
Liar,0.2,-1,7,50,0.5619821224739893
Liar,0.2,-1,8,50,0.49612866381562043
Liar,0.2,-1,9,50,0.4859304746030572
Liar,0.2,-1,10,50,0.4844500051439758
Liar,0.2,0,0,50,1.2004450110136015e-5
Liar,0.2,0,1,50,0.9999055399484401
Liar,0.2,0,2,50,1.9979510075894544
Liar,0.2,0,3,50,2.9750831598972054
Liar,0.2,0,4,50,3.757942522781401
Liar,0.2,0,5,50,3.4036946722580725
Liar,0.2,0,6,50,1.5769094222684148
Liar,0.2,0,7,50,0.6940913624332499
Liar,0.2,0,8,50,0.5175657022089243
Liar,0.2,0,9,50,0.4892349518809392
Liar,0.2,0,10,50,0.4849500775338548
Liar,0.2,1,0,50,4.4162129774552295e-6
Liar,0.2,1,1,50,0.9999652469500107
Liar,0.2,1,2,50,1.9992456194336452
Liar,0.2,1,3,50,2.990777216712287
Liar,0.2,1,4,50,3.9069325588887165
Liar,0.2,1,5,50,4.24431229711221
Liar,0.2,1,6,50,2.702899577557236
Liar,0.2,1,7,50,1.0272490969600288
Liar,0.2,1,8,50,0.5752233976593587
Liar,0.2,1,9,50,0.4982045030913026
Liar,0.2,1,10,50,0.48630914963730293
