role,p,mor,ks,n,val
Liar,0.2,-10,0,50,0.4640198227173232
Liar,0.2,-10,1,50,0.7640506199986212
Liar,0.2,-10,2,50,0.6987112775209381
Liar,0.2,-10,3,50,0.683635025617059
Liar,0.2,-10,4,50,0.7033493979894537
Liar,0.2,-10,5,50,0.7250091968830742
Liar,0.2,-10,6,50,0.7400265232515411
Liar,0.2,-10,7,50,0.748876439699602
Liar,0.2,-10,8,50,0.7536831792142443
Liar,0.2,-10,9,50,0.7561717463607935
Liar,0.2,-10,10,50,0.7574208037745166
Liar,0.2,-9,0,50,0.25466590146230444
Liar,0.2,-9,1,50,0.8175326951435313
Liar,0.2,-9,2,50,0.784001060827073
Liar,0.2,-9,3,50,0.7188319954023423
Liar,0.2,-9,4,50,0.7144811365810532
Liar,0.2,-9,5,50,0.7282096608649308
Liar,0.2,-9,6,50,0.7409018755772242
Liar,0.2,-9,7,50,0.7491081320602265
Liar,0.2,-9,8,50,0.7537430562733971
Liar,0.2,-9,9,50,0.7561869401576702
Liar,0.2,-9,10,50,0.7574246040662606
Liar,0.2,-8,0,50,0.13025479579966612
Liar,0.2,-8,1,50,0.8766992230375507
Liar,0.2,-8,2,50,0.932166750211599
Liar,0.2,-8,3,50,0.7899248874244933
Liar,0.2,-8,4,50,0.7378007541029796
Liar,0.2,-8,5,50,0.7349692575854208
Liar,0.2,-8,6,50,0.7427540355459414
Liar,0.2,-8,7,50,0.7495985681299034
Liar,0.2,-8,8,50,0.7538698127438394
Liar,0.2,-8,9,50,0.7562191052411279
Liar,0.2,-8,10,50,0.757432649273634
Liar,0.2,-7,0,50,0.0640320924001693
Liar,0.2,-7,1,50,0.9268875847340552
Liar,0.2,-7,2,50,1.1511321108847856
Liar,0.2,-7,3,50,0.9267132478246273
Liar,0.2,-7,4,50,0.7860923669855283
Liar,0.2,-7,5,50,0.7492089783614072
Liar,0.2,-7,6,50,0.7466707571288739
Liar,0.2,-7,7,50,0.7506365674293277
Liar,0.2,-7,8,50,0.7541381415630717
Liar,0.2,-7,9,50,0.7562871978952203
Liar,0.2,-7,10,50,0.7574496809315692
Liar,0.2,-6,0,50,0.03083949262722637
Liar,0.2,-6,1,50,0.9607282261283326
Liar,0.2,-6,2,50,1.4080844551223195
Liar,0.2,-6,3,50,1.1669000386833217
Liar,0.2,-6,4,50,0.8837517849773875
Liar,0.2,-6,5,50,0.7790429520061989
Liar,0.2,-6,6,50,0.7549432320507742
Liar,0.2,-6,7,50,0.7528328748829339
Liar,0.2,-6,8,50,0.7547061281158529
Liar,0.2,-6,9,50,0.7564313463337803
Liar,0.2,-6,10,50,0.7574857367446012
Liar,0.2,-5,0,50,0.01470368642122937
Liar,0.2,-5,1,50,0.9801644651567529
Liar,0.2,-5,2,50,1.6392553775880834
Liar,0.2,-5,3,50,1.5279272132889994
Liar,0.2,-5,4,50,1.0720985058008825
Liar,0.2,-5,5,50,0.8408400149524137
Liar,0.2,-5,6,50,0.7723703876892596
Liar,0.2,-5,7,50,0.7574773681810741
Liar,0.2,-5,8,50,0.7559082619117304
Liar,0.2,-5,9,50,0.7567364919488305
Liar,0.2,-5,10,50,0.75756206597325
Liar,0.2,-4,0,50,0.006976326811486948
Liar,0.2,-4,1,50,0.9903134396726728
Liar,0.2,-4,2,50,1.8025252173210784
Liar,0.2,-4,3,50,1.9610909807585448
Liar,0.2,-4,4,50,1.4042320554875931
Liar,0.2,-4,5,50,0.9658737623073601
Liar,0.2,-4,6,50,0.8088842598066883
Liar,0.2,-4,7,50,0.7672870112605604
Liar,0.2,-4,8,50,0.7584518634839962
Liar,0.2,-4,9,50,0.7573824106924161
Liar,0.2,-4,10,50,0.757723650792062
Liar,0.2,-3,0,50,0.0033023001757447566
Liar,0.2,-3,1,50,0.995350100324611
Liar,0.2,-3,2,50,1.899151628732103
Liar,0.2,-3,3,50,2.359858446910515
Liar,0.2,-3,4,50,1.906886872359532
Liar,0.2,-3,5,50,1.2072511423255643
Liar,0.2,-3,6,50,0.8845257103407603
Liar,0.2,-3,7,50,0.7879526436529858
Liar,0.2,-3,8,50,0.7638307789512456
Liar,0.2,-3,9,50,0.7587494867634786
Liar,0.2,-3,10,50,0.758065707215732
Liar,0.2,-2,0,50,0.0015614442551835747
Liar,0.2,-2,1,50,0.9977865666519294
Liar,0.2,-2,2,50,1.9504642273398365
Liar,0.2,-2,3,50,2.6468329240168686
Liar,0.2,-2,4,50,2.515463953052196
Liar,0.2,-2,5,50,1.6336597439488947
Liar,0.2,-2,6,50,1.0376032528334223
Liar,0.2,-2,7,50,0.8312527941690545
Liar,0.2,-2,8,50,0.7751916202110132
Liar,0.2,-2,9,50,0.7616420911943255
Liar,0.2,-2,10,50,0.758789757140764
